ID,Category,Title,Author / Institution,Resource type,Description,Relevance for RC42,Suggested placement,URL,Tags,Access type,Language,Region scope,Verification status,Notes,Priority rank,Source type
RC42-R001,Publications,Social Psychology Quarterly,American Sociological Association / SAGE,Journal,"Core journal for sociological social psychology. It publishes theoretical and empirical work on the link between individuals, groups, institutions, and social structure.",High,Publications,https://journals.sagepub.com/home/SPQ,journal; sociological social psychology; interaction; self and society; social structure,Mixed access / subscription,English,International,Verified official source,Essential reference point; link to journal page rather than hosting PDFs.,1,External
RC42-R003,Publications,Handbook of Social Psychology,"John DeLamater & Amanda Ward, eds. / Springer",Handbook,"Broad handbook covering major theoretical perspectives and topics in social psychology, including interactionist, identity, social exchange, and social structure approaches.",High,Publications,https://link.springer.com/book/10.1007/978-94-007-6772-0,handbook; theory; identity; interactionism; social exchange; social structure,Subscription / purchase,English,International,Verified official source,"Recommended as a reference link, not as a hosted file.",2,External
RC42-R004,Publications,Handbook of the Social Psychology of Inequality,"Jane D. McLeod, Edward J. Lawler & Michael Schwalbe, eds. / Springer",Handbook,"Major reference on how social psychological processes mediate, reproduce, and contest inequality. Strong fit for RC42 themes on status, power, identity, stigma, and justice.",High,Publications,https://link.springer.com/book/10.1007/978-94-017-9002-4,inequality; status; power; stigma; justice; intersectionality; handbook,Subscription / purchase,English,International,Verified official source,Strong candidate for the first publication list.,3,External
RC42-R005,Publications,Contemporary Social Psychological Theories,"Peter J. Burke, ed. / Stanford University Press",Book,"Presents major theory programs in sociological social psychology, including identity, exchange, affect control, expectation states, and related approaches.",High,Publications,https://www.sup.org/books/sociology/contemporary-social-psychological-theories/excerpt/table-contents,theory; identity theory; exchange theory; affect control theory; expectation states; symbolic interactionism,Book / purchase; excerpt available,English,International,Verified official source,Useful for theory-oriented teaching and reading lists.,4,External
RC42-R006,Publications,Social Identity: Sociological and Social Psychological Perspectives,Social Psychology Quarterly / JSTOR,Special issue,"Classic special issue connecting social identity theory with sociological and social psychological perspectives. Useful for identity, group processes, and boundary-making themes.",High,Publications,https://www.jstor.org/stable/i267679,social identity; identity; group processes; special issue; classic,JSTOR / institutional access,English,International,Verified academic source,Classic resource; check access conditions before presenting as open.,0,External
RC42-R007,Publications,Emotions and Society,Bristol University Press,Journal,"Interdisciplinary journal focused on emotions as social, cultural, political, and relational phenomena. Relevant for sociology of emotions and affective dimensions of social life.",High,Publications,https://bristoluniversitypressdigital.com/view/journals/emsoc/emsoc-overview.xml,emotions; affect; culture; politics; journal,Mixed access / subscription,English,International,Verified official source,Could be linked as a journal resource; selected articles may be open access.,0,External
RC42-R008,Publications,On the Justice of Earnings: A New Specification of the Justice Evaluation Function,Guillermina Jasso / American Journal of Sociology,Journal article,"Classic article in justice evaluation theory. Relevant for distributive justice, inequality, social comparison, and mathematical sociology in social psychology.",High,Publications,https://www.journals.uchicago.edu/doi/10.1086/226706,justice; inequality; distributive justice; social comparison; classic article,Subscription / institutional access,English,International,Verified publisher source,Appears in the current RC42 website content; link to publisher DOI page.,0,RC42-linked
RC42-R009,Teaching Resources,Sociology & Social Psychology,Mary R. Rose / ASA TRAILS,Teaching resource collection,"TRAILS resource entry and related materials for teaching sociology and social psychology. Useful as a gateway to syllabi, assignments, and classroom activities.",High,Teaching Resources,https://trails.asanet.org/article/view/sociology-social-psychology,teaching; syllabus; assignments; sociological social psychology; TRAILS,Requires TRAILS/ASA access for some materials,English,Mostly United States; adaptable internationally,Verified official source,Good model for building RC42 member-contributed teaching resources.,5,External
RC42-R010,Teaching Resources,TRAILS: Teaching Resources and Innovations Library for Sociology,American Sociological Association,Teaching repository,"Peer-reviewed repository of sociology teaching materials, including syllabi, assignments, lectures, class activities, and assessments.",High,Teaching Resources,https://trails.asanet.org/,teaching; repository; pedagogy; syllabi; assignments; sociology,Requires account / mixed access,English,Mostly United States; adaptable internationally,Verified official source,Useful as a reference model and source for teaching-resource standards.,0,External
RC42-R011,Teaching Resources,Sociology 150: Sociological Social Psychology,"University of California, Berkeley",Syllabus,Open syllabus on micro-social processes and macro-social consequences in sociological social psychology. Useful model for an undergraduate course outline.,High,Teaching Resources,https://sociology.berkeley.edu/sites/default/files/documents/syllabi/Sp16/Sp16_Soc150_Powers%2CBrian.pdf,syllabus; interaction; self and society; symbolic interactionism; undergraduate teaching,Open PDF,English,United States; adaptable internationally,Verified institutional source,Older syllabus; still useful as a teaching example.,0,External
RC42-R012,Teaching Resources,Social Psychology: A Sociological Perspective,University of Wisconsin–Madison,Syllabus,"Course outline using a sociological perspective on social psychology and microsociology. Useful for teaching identity, interaction, groups, and social structure.",Medium,Teaching Resources,https://soc.wisc.edu/wp-content/uploads/sites/600/2022/08/Soc-530-Social-Psychology-Syllabus.pdf,syllabus; microsociology; social psychology; teaching; theory,Open PDF; requires link check,English,United States; adaptable internationally,Requires verification before publication,Included as a candidate; verify active link before publishing.,0,External
RC42-R013,Teaching Resources,Social Psychology Readings,MIT OpenCourseWare,Course readings,"Open reading list for social psychology. More psychological than sociological, but useful for interdisciplinary comparison and introductory teaching.",Medium,Teaching Resources,https://ocw.mit.edu/courses/9-70-social-psychology-spring-2013/pages/readings/,teaching; readings; social psychology; interdisciplinary; open courseware,Open access,English,International,Requires verification before publication,Frame as complementary rather than core sociological social psychology.,0,External
RC42-R014,Teaching Resources,Introduction to Sociology 3e,OpenStax / Open Textbook Library,Open textbook,"Open sociology textbook covering culture, socialization, groups, organizations, stratification, family, religion, and social change. Useful for introductory teaching.",Medium,Teaching Resources,https://open.umn.edu/opentextbooks/textbooks/62,open textbook; teaching; socialization; culture; inequality; introductory sociology,Open educational resource,English,International,Verified institutional source,Introductory rather than specialized; useful for undergraduate foundations.,0,External
RC42-R015,Teaching Resources,Principles of Social Psychology,Open Textbook Library,Open textbook,Open social psychology textbook that can support interdisciplinary teaching. It should be framed as a psychology-oriented complement to sociological resources.,Exploratory,Teaching Resources,https://open.umn.edu/opentextbooks/textbooks/principles-of-social-psychology,open textbook; social psychology; teaching; interdisciplinary,Open educational resource,English,International,Verified institutional source,Psychology-oriented; include only if RC42 wants broad interdisciplinary teaching materials.,0,External
RC42-R016,Datasets & Tools,World Values Survey,World Values Survey Association,Dataset / survey program,"Global comparative survey on values, beliefs, trust, gender, religion, poverty, tolerance, and social attitudes. Strong for comparative sociological social psychology.",High,Datasets & Tools,https://www.worldvaluessurvey.org/WVSDocumentationWV7.jsp,values; attitudes; trust; religion; gender; comparative research; survey data,Open data for non-commercial research,English,Global,Verified official source,Excellent first-wave dataset resource; include citation guidance.,6,External
RC42-R017,Datasets & Tools,European Social Survey Data Portal,European Social Survey,Dataset portal,"High-quality open data on attitudes, beliefs, behavior, trust, wellbeing, immigration, climate, democracy, and values across Europe.",High,Datasets & Tools,https://www.europeansocialsurvey.org/data-portal,attitudes; trust; wellbeing; immigration; democracy; survey data; Europe,Open data,English,Europe,Verified official source,Strong documentation; useful for methods teaching.,7,External
RC42-R018,Datasets & Tools,International Social Survey Programme,ISSP / GESIS,Dataset series,"Cross-national survey modules on inequality, national identity, family, gender roles, religion, citizenship, social networks, and environment.",High,Datasets & Tools,https://www.gesis.org/en/issp/home,comparative research; inequality; national identity; gender; citizenship; survey data,Free data via GESIS account,English,International,Verified official source,Excellent for comparative teaching and research exercises.,8,External
RC42-R019,Datasets & Tools,AmericasBarometer,LAPOP Lab / Vanderbilt University,Dataset / survey program,"Leading comparative public opinion data source on democracy, governance, political trust, participation, and values across the Americas.",High,Datasets & Tools,https://www.vanderbilt.edu/lapop/about-americasbarometer.php,Latin America; democracy; trust; participation; public opinion; survey data,Open data / registration may be required,English; Spanish,Americas,Verified official source,Important for regional diversity and Latin American research.,9,External
RC42-R020,Datasets & Tools,Latinobarómetro 2024,Corporación Latinobarómetro,Dataset,"Public opinion survey covering 18 Latin American countries, including democracy, economy, institutions, values, and social attitudes.",High,Datasets & Tools,https://www.latinobarometro.org/latinobarometro-2024,Latin America; democracy; trust; values; public opinion; survey data,Open data,Spanish; English documentation,Latin America,Verified official source,Priority resource for Latin American inclusion.,0,External
RC42-R021,Datasets & Tools,Afrobarometer Data,Afrobarometer,Dataset portal,"Survey data on democracy, governance, participation, collective action, identity, trust, and social capital across African countries.",High,Datasets & Tools,https://www.afrobarometer.org/data/,Africa; democracy; governance; trust; participation; survey data,Open data,English; French; Portuguese; Arabic options,Africa,Verified official source,Strong contribution to regional diversity.,0,External
RC42-R022,Datasets & Tools,Asian Barometer Survey,Asian Barometer Survey,Dataset / survey program,"Comparative survey on democracy, governance, political participation, democratic and authoritarian values, and trust in Asian societies.",High,Datasets & Tools,https://asianbarometer.org/,Asia; democracy; authoritarian values; trust; participation; survey data,Requires application / data request,English; Chinese,Asia,Verified official source,Useful for regional diversity; clarify access process.,0,External
RC42-R023,Datasets & Tools,General Social Survey,NORC at the University of Chicago,Dataset / data explorer,"Long-running U.S. survey of attitudes, behaviors, identities, morality, family, race relations, gender, social change, and public opinion.",Medium,Datasets & Tools,https://gssdataexplorer.norc.org/,United States; attitudes; race; gender; family; identity; survey data,Open data / account features,English,United States,Verified official source,U.S.-centered but methodologically important.,0,External
RC42-R024,Datasets & Tools,survey,CRAN / Thomas Lumley et al.,R package,"R package for analyzing complex survey samples, including weights, stratification, clustering, replicate weights, and design-based inference.",High,Datasets & Tools,https://cran.r-project.org/package=survey,R; survey analysis; weights; complex samples; methodology,Open source,English,International,Verified official source,Core tool for comparative survey analysis.,0,External
RC42-R025,Datasets & Tools,lavaan,Yves Rosseel / lavaan project,R package,"Open-source package for latent variable models, CFA, SEM, path analysis, and growth curve models. Useful for measurement of identities, attitudes, values, and emotions.",High,Datasets & Tools,https://lavaan.ugent.be/,R; CFA; SEM; latent variables; measurement; methodology,Open source,English,International,Verified official source,Useful for methodological innovation and teaching.,0,External
RC42-R026,Datasets & Tools,igraph,igraph project,Network analysis software,"Open-source network analysis library available for R, Python, Mathematica, and C/C++. Useful for social networks, interaction, groups, diffusion, and relational analysis.",Medium,Datasets & Tools,https://igraph.org/,networks; R; Python; graph analysis; interaction; groups,Open source,English,International,Verified official source,Useful for relational and network-oriented work.,0,External
RC42-R027,Datasets & Tools,quanteda,Quanteda Initiative,R package,"Open-source R package for quantitative text analysis, corpus management, dictionaries, keywords, text-as-data workflows, and machine learning.",Medium,Datasets & Tools,https://quanteda.io/,R; text analysis; discourse; culture; identity; digital methods,Open source,English,International,Verified official source,"Useful for discourse, culture, identity, and digital methods.",0,External
RC42-R028,Blog / Posts,Global Dialogue,International Sociological Association,Open-access magazine,"ISA’s open-access online magazine for global and public sociology. Useful model for multilingual, internationally oriented short essays and interviews.",High,Blog / Posts,https://globaldialogue.isa-sociology.org/,public sociology; ISA; global sociology; blog; essays; multilingual,Open access,Multilingual,Global,Verified official source,Strongest institutional model for an RC42 blog/post section.,10,ISA-linked
RC42-R029,Blog / Posts,Contexts Magazine,American Sociological Association,Public sociology magazine,"Public-facing sociology magazine that makes social research accessible through essays, reviews, photo essays, and research-based commentary.",High,Blog / Posts,https://contexts.org/,public sociology; magazine; essays; research communication; ASA,Open web magazine / mixed access,English,Mostly United States; internationally relevant,Verified official source,Good model for writing style and public-facing presentation.,0,External
RC42-R030,Blog / Posts,The Society Pages,University of Minnesota Sociology,Public sociology platform,"Open-access social science project with articles, blogs, podcasts, and public sociology resources. Useful as a model for accessible academic communication.",Medium,Blog / Posts,https://thesocietypages.org/,public sociology; blog; podcasts; research communication; teaching,Open access,English,Mostly United States; internationally relevant,Verified official source,Good inspiration for RC42 field notes and short essays.,0,External
RC42-R031,Blog / Posts,Transforming Society,Bristol University Press / Policy Press,Academic blog,"Research-informed blog with essays on inequality, migration, social justice, public policy, and social change. Useful model for thematic blog organization.",Medium,Blog / Posts,https://www.transformingsociety.co.uk/,academic blog; inequality; migration; social justice; public sociology,Open access,English,International,Verified official source,Good model for brief research-based posts.,0,External
RC42-R032,Blog / Posts,Launching the new journal Emotions and Society – why now?,"Mary Holmes, Nathan Manning & Åsa Wettergren / Transforming Society",Blog post,Short editorial reflection on the relevance of emotions as a social and interdisciplinary field. Useful as an example of a field-building post.,Medium,Blog / Posts,https://www.transformingsociety.co.uk/2019/06/06/launching-the-new-journal-emotions-and-society-why-now/,emotions; field-building; academic blog; sociology of emotions,Open access,English,International,Verified official source,"Useful as a model, not necessarily as a core resource.",0,External
